|Index|Distance|Velocity|
|331|-8.56729e+123|-8.56729e+123|
|332|-8.56729e+123|-8.56729e+123|
|333|-9.25608e+061|-8.56728e+123|
|334|8.55342e+303|5.12181e+303|
|335|-8.56729e+123|-8.56729e+123|
|336|-8.56729e+123|-8.56729e+123|
|337|-8.56729e+123|-8.56729e+123|
|338|-8.56729e+123|-8.56729e+123|
|339|-8.56729e+123|-8.56729e+123|
|340|-8.56729e+123|-8.56729e+123|
|341|-8.56729e+123|-8.56729e+123|
|342|-8.56729e+123|-8.56729e+123|
|343|-8.56729e+123|-8.56729e+123|
|344|-8.56729e+123|-8.56729e+123|
|345|-1.93074e+054|-1.15893e+057|
|346|-1.0727e+119|-4.29437e+121|
|347|-4.29796e+119|-8.61026e+121|
|348|-9.68657e+119|-1.29478e+122|
|349|-1.72494e+120|-1.73071e+122|
|350|-2.69973e+120|-2.16882e+122|
|351|-3.89412e+120|-2.60912e+122|
|352|-5.30922e+120|-3.05164e+122|
|353|-6.94613e+120|-3.49637e+122|
|354|-8.80596e+120|-3.94332e+122|
|355|-1.08898e+121|-4.39252e+122|
|356|-1.31988e+121|-4.84396e+122|
|357|356.498|300|
|358|1.5|300|
|359|3|300|
|360|4.5|300|
|361|6|300|
|362|7.5|300|
|363|9|300|
|364|10.5|300|
|365|12|300|
|366|13.5|300|
|367|15|300|
|368|16.5|300|
|369|18|300|
|370|19.5|300|
|371|21|300|
|372|22.5|300|
|373|24|300|
|374|25.5|300|
|375|27|300|
|376|28.5|300|
|377|30|300|
|378|31.5|300|
|379|33|300|
|380|34.5|300|
|381|36|300|
|382|37.5|300|
|383|39|300|
|384|40.5|300|
|385|42|300|
|386|43.5|300|
|387|45|300|
|388|46.5|300|
|389|48|300|
|390|49.5|300|
|391|51|300|
|392|52.5|300|
|393|54|300|
|394|55.5|300|
|395|57|300|
|396|58.5|300|
|397|60|300|
|398|61.5|300|
|399|63|300|
|400|64.5|300|
|401|66|300|
|402|67.5|300|
|403|69|300|
|404|70.5|300|
|405|72|300|
|406|73.5|300|
|407|75|300|
|408|76.5|300|
|409|78|300|
|410|79.5|300|
|411|81|300|
|412|82.5|300|
|413|84|300|
|414|85.5|300|
|415|87|300|
|416|88.5|300|
|417|90|300|
|418|91.5|300|
|419|93|300|
|420|94.5|300|
|421|96|300|
|422|97.5|300|
|423|99|300|
|424|100.5|300|
|425|102|300|
|426|103.5|300|
|427|105|300|
|428|106.5|300|
|429|108|300|
|430|109.5|300|
|431|111|300|
|432|112.5|300|
|433|114|300|
|434|115.5|300|
|435|117|300|
|436|118.5|300|
|437|120|300|
|438|121.5|300|
|439|123|300|
|440|124.5|300|
|441|126|300|
|442|127.5|300|
|443|129|300|
|444|130.5|300|
|445|132|300|
|446|133.5|300|
|447|135|300|
|448|136.5|300|
|449|138|300|
|450|139.5|300|
|451|141|300|
|452|142.5|300|
|453|144|300|
|454|145.5|300|
|455|147|300|
|456|148.5|300|
|457|150|300|
|458|151.5|300|
|459|153|300|
|460|154.5|300|
|461|156|300|
|462|157.5|300|
|463|159|300|
|464|160.5|300|
|465|162|300|
|466|163.5|300|
|467|165|300|
|468|166.5|300|
|469|168|300|
|470|169.5|300|
|471|171|300|
|472|172.5|300|
|473|174|300|
|474|175.5|300|
|475|177|300|
|476|178.5|300|
|477|180|300|
|478|181.5|300|
|479|183|300|
|480|184.5|300|
|481|186|300|
|482|187.5|300|
|483|189|300|
|484|190.5|300|
|485|192|300|
|486|193.5|300|
|487|195|300|
|488|196.5|300|
|489|198|300|
|490|199.5|300|
|491|201|300|
|492|202.5|300|
|493|204|300|
|494|205.5|300|
|495|207|300|
|496|208.5|300|
|497|210|300|
|498|211.5|300|
|499|213|300|
|500|214.5|300|
|501|216|300|
|502|217.5|300|
|503|219|300|
|504|220.5|300|
|505|222|300|
|506|223.5|300|
|507|225|300|
|508|226.5|300|
|509|228|300|
|510|229.5|300|
|511|231|300|
|512|232.5|300|
|513|234|300|
|514|235.5|300|
|515|237|300|
|516|238.5|300|
|517|240|300|
|518|241.5|300|
|519|243|300|
|520|244.5|300|
|521|246|300|
|522|247.5|300|
|523|249|300|
|524|250.5|299.999|
|525|252|299.999|
|526|253.5|299.999|
|527|255|299.999|
|528|256.5|299.999|
|529|258|299.998|
|530|259.5|299.998|
|531|261|299.998|
|532|262.5|299.997|
|533|264|299.997|
|534|265.5|299.996|
|535|267|299.996|
|536|268.5|299.995|
|537|270|299.994|
|538|271.5|299.993|
|539|273|299.993|
|540|274.5|299.992|
|541|276|299.991|
|542|277.5|299.989|
|543|279|299.988|
|544|280.5|299.987|
|545|282|300|
|546|283.5|300|
|547|285|300|
|548|286.5|300|
|549|288|300|
|550|289.5|300|
|551|291|300|
|552|292.5|300|
|553|294|300|
|554|295.5|300|
|555|297|300|
|556|298.5|300|
|557|300|300|
|558|301.5|300|
|559|303|300|
|560|304.5|300|
|561|306|300|
|562|307.5|300|
|563|309|300|
|564|310.5|299.999|
|565|312|299.999|
|566|313.5|299.998|
|567|315|299.998|
|568|316.5|299.998|
|569|318|299.997|
|570|319.5|299.997|
|571|321|299.997|
|572|322.5|299.996|
|573|324|299.995|
|574|325.5|299.995|
|575|327|299.994|
|576|328.5|299.993|
|577|330|299.992|
|578|331.5|299.991|
|579|333|299.99|
|580|334.5|299.989|
|581|336|299.988|
|582|337.499|299.987|
|583|338.999|299.986|
|584|340.499|299.984|
|585|341.999|299.983|
|586|343.499|299.981|
|587|344.999|299.979|
|588|346.499|299.977|
|589|347.999|299.975|
|590|349.499|299.973|
|591|350.999|299.971|
|592|352.498|299.969|
|593|353.998|299.966|
|594|355.498|299.964|
|595|356.998|299.961|
|596|358.498|299.959|
|597|359.997|299.956|
|598|361.497|299.953|
|599|362.997|299.949|
|600|364.497|299.946|
|601|365.996|299.942|
|602|367.496|299.939|
|603|368.996|299.935|
|604|370.496|299.931|
|605|371.995|299.927|
|606|373.495|299.923|
|607|374.994|299.918|
|608|376.494|299.914|
|609|377.994|299.909|
|610|379.493|299.904|
|611|380.993|299.899|
|612|382.492|299.893|
|613|383.992|299.888|
|614|385.491|299.882|
|615|386.99|299.876|
|616|388.49|299.87|
|617|389.989|299.864|
|618|391.488|299.858|
|619|392.988|299.851|
|620|394.486|299.829|
|621|395.985|299.821|
|622|397.485|299.812|
|623|398.984|299.802|
|624|400.483|299.793|
|625|401.981|299.783|
|626|403.48|299.772|
|627|404.979|299.761|
|628|406.478|299.75|
|629|407.977|299.738|
|630|409.475|299.726|
|631|410.974|299.714|
|632|412.472|299.7|
|633|413.971|299.687|
|634|415.469|299.673|
|635|416.968|299.659|
|636|418.466|299.644|
|637|419.964|299.628|
|638|421.462|299.612|
|639|422.96|299.597|
|640|6.40226e+298|1.#INF|
|641|-8.56729e+123|-8.56729e+123|
|642|-8.56729e+123|-8.56729e+123|
|643|-8.56729e+123|-8.56729e+123|
|644|-8.56729e+123|-8.56729e+123|
|645|-8.56729e+123|-8.56729e+123|
|646|-1.#QNAN|-1.#QNAN|
|647|6.40226e+298|7.42663e+303|
|648|-2.27235e+062|-2.27235e+062|
|649|-8.56729e+123|-8.56729e+123|
|650|-8.56729e+123|-8.56729e+123|
|651|-8.56729e+123|-8.56729e+123|
|652|-8.56729e+123|-8.56729e+123|
|653|-8.56729e+123|-8.56729e+123|
|654|-8.56729e+123|-8.56729e+123|
|655|-8.56729e+123|-8.56729e+123|
|656|-8.56729e+123|-8.56729e+123|
|657|450|300|
|658|1.5|300|
|659|3|300|
|660|4.5|300|
|661|6|300|
|662|7.5|300|
|663|9|300|
|664|10.5|300|
|665|12|300|
|666|13.5|300|
|667|15|300|
|668|16.5|300|
|669|18|300|
|670|19.5|300|
|671|20.001|300|
|672|1.5|300|
|673|3|300|
|674|4.5|300|
|675|6|300|
|676|7.5|300|
|677|9|300|
|678|10.5|300|
|679|12|300|
|680|13.5|300|
|681|15|300|
|682|16.5|300|
|683|18|300|
|684|19.5|300|
|685|21|300|
|686|22.5|300|
|687|24|300|
|688|25.5|300|
|689|27|300|
|690|28.5|300|
|691|30|300|
|692|1.5|300|
|693|3|300|
|694|4.5|300|
|695|6|300|
|696|7.5|300|
|697|9|300|
|698|10.5|300|
|699|12|300|
|700|13.5|300|
|701|15|300|
|702|16.5|300|
|703|18|300|
|704|19.5|300|
|705|21|300|
|706|22.5|300|
|707|24|300|
|708|25.5|300|
|709|27|300|
|710|28.5|300|
|711|30|300|
|712|31.5|300|
|713|33|300|
|714|34.5|300|
|715|36|300|
|716|37.5|300|
|717|39|300|
|718|40.5|300|
|719|42|300|
|720|43.5|300|
|721|45|300|
|722|46.5|300|
|723|48|300|
|724|49.5|300|
|725|51|300|
|726|52.5|300|
|727|54|300|
|728|55.5|300|
|729|57|300|
|730|58.5|300|
|731|60|300|
|732|61.5|300|
|733|63|300|
|734|64.5|300|
|735|66|300|
|736|67.5|300|
|737|69|300|
|738|70.5|300|
|739|72|300|
|740|73.5|300|
|741|75|300|
|742|76.5|300|
|743|78|300|
|744|79.5|300|
|745|81|300|
|746|82.5|300|
|747|84|300|
|748|85.5|300|
|749|87|300|
|750|88.5|300|
|751|90|300|
|752|91.5|300|
|753|93|300|
|754|94.5|300|
|755|96|300|
|756|97.5|300|
|757|99|300|
|758|100.5|300|
|759|102|300|
|760|103.5|300|
|761|105|300|
|762|106.5|300|
|763|108|300|
|764|109.5|300|
|765|111|300|
|766|112.5|300|
|767|114|300|
|768|115.5|300|
|769|117|300|
|770|118.5|300|
|771|120|300|
|772|121.5|300|
|773|123|300|
|774|124.5|300|
|775|126|300|
|776|127.5|300|
|777|129|300|
|778|130.5|300|
|779|132|300|
|780|133.5|300|
|781|135|300|
|782|136.5|300|
|783|138|300|
|784|139.5|300|
|785|141|300|
|786|142.5|300|
|787|144|300|
|788|145.5|300|
|789|147|300|
|790|148.5|300|
|791|150|300|
|792|151.5|300|
|793|153|300|
|794|154.5|300|
|795|156|300|
|796|157.5|300|
|797|159|300|
|798|160.5|300|
|799|162|300|
|800|163.5|300|
|801|165|300|
|802|166.5|300|
|803|168|300|
|804|169.5|300|
|805|171|300|
|806|172.5|300|
|807|174|300|
|808|175.5|300|
|809|177|300|
|810|178.5|300|
|811|180|300|
|812|181.5|300|
|813|183|300|
|814|184.5|300|
|815|186|300|
|816|187.5|300|
|817|189|300|
|818|190.5|300|
|819|192|300|
|820|193.5|300|
|821|195|300|
|822|196.5|300|
|823|198|300|
|824|199.5|300|
|825|201|300|
|826|202.5|300|
|827|204|300|
|828|205.5|300|
|829|207|300|
|830|208.5|300|
|831|210|300|
|832|211.5|300|
|833|213|300|
|834|214.5|300|
|835|216|300|
|836|217.5|300|
|837|219|300|
|838|220.5|300|
|839|222|300|
|840|223.5|300|
|841|225|300|
|842|226.5|300|
|843|228|300|
|844|229.5|300|
|845|231|300|
|846|232.5|300|
|847|234|300|
|848|235.5|300|
|849|237|300|
|850|238.5|300|
|851|240|300|
|852|241.5|300|
|853|243|300|
|854|244.5|300|
|855|246|300|
|856|247.5|300|
|857|249|300|
|858|250.5|299.999|
|859|252|299.999|
|860|253.5|299.999|
|861|255|299.999|
|862|256.5|299.999|
|863|258|299.999|
|864|259.5|299.998|
|865|261|299.998|
|866|262.5|299.998|
|867|264|299.997|
|868|265.5|299.997|
|869|267|299.996|
|870|268.5|299.996|
|871|270|299.995|
|872|271.5|299.994|
|873|273|299.994|
|874|274.5|299.993|
|875|276|299.992|
|876|277.5|299.991|
|877|279|299.99|
|878|280.5|299.989|
|879|282|300|
|880|283.5|300|
|881|285|300|
|882|286.5|300|
|883|288|300|
|884|289.5|300|
|885|291|300|
|886|292.5|300|
|887|294|300|
|888|295.5|300|
|889|297|300|
|890|298.5|300|
|891|300|300|
|892|301.5|300|
|893|303|300|
|894|304.5|300|
|895|306|300|
|896|307.5|300|
|897|309|300|
|898|310.5|299.999|
|899|312|299.999|
|900|313.5|299.999|
|901|315|299.998|
|902|316.5|299.998|
|903|318|299.998|
|904|319.5|299.997|
|905|321|299.997|
|906|322.5|299.997|
|907|324|299.996|
|908|325.5|299.995|
|909|327|299.995|
|910|328.5|299.994|
|911|330|299.993|
|912|331.5|299.992|
|913|333|299.991|
|914|334.5|299.99|
|915|336|299.989|
|916|337.5|299.989|
|917|338.999|299.987|
|918|340.499|299.986|
|919|341.999|299.985|
|920|343.499|299.983|
|921|344.999|299.982|
|922|346.499|299.98|
|923|347.999|299.979|
|924|349.499|299.977|
|925|350.999|299.975|
|926|352.499|299.973|
|927|353.998|299.971|
|928|355.498|299.969|
|929|356.998|299.966|
|930|358.498|299.964|
